nombre:ID(Actor-ID)
Leonardo Di Caprio
Brad Pitt
Dwayne Johnson
Matthew McConaughey
Christian Bale
Michael Caine
Jeff Bridges
Tom Holland
Samuel L. Jackson
Ryan Gosling
Heath Ledger
Robert Downey Jr.
Tom Hardy
Harrison Ford
Mark Hamill
Benedict Cumberbatch
Michael Fassbender
George Clooney
James McAvoy
Willem Dafoe
Tobey Maguire
Gary Oldman
Natalie Portman
Meryl Streep
Jennifer Lawrence
Nicole Kidman
Scarlett Johansson
Julia Roberts
Emma Stone
Anne Hathaway
Margot Robbie
Ana de Armas
Jared Leto
Emma Watson
Rachel McAdams
Gal Gadot
Ben Affleck
Henry Cavill
Amy Adams
Gwyneth Paltrow
Chris Hemsworth
Eiza González
Ryan Reynolds
Jason Statham
Keanu Reeves
Lily James
Mark Ruffalo
Charlize Theron
Jonah Hill
Chris Evans
Hayden Christensen
Ewan McGregor
Chris Pine
Channing Tatum
Daniel Craig
Andrew Garfield
Laurence Fishburne
Jake Gyllenhaal
Hugh Jackman
Jason Momoa
Ice Cube
Daniel Radcliffe
Rupert Grint
Luke Evans
Jesse Eisenberg
Zac Efron
Zendaya
Lilly Collins
Marion Cotillard
Steve Carell
Woody Harrelson
Jeremy Renner
Armie Hammer
Hugo Weaving
Joseph Gordon-Levitt
