titulo,anio,genero,poster,banner,descripcion
The Revenant,2015,Drama,"https://m.media-amazon.com/images/M/MV5BMDE5OWMzM2QtOTU2ZS00NzAyLWI2MDEtOTRlYjIxZGM0OWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.chicagotribune.com/resizer/PtM36rFkF3UU5Ct3S2ae1QP2TZU=/415x172/top/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/3CZG7IRVDJG4TMJ3HPRXI55I5A.jpg","A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
Once Upon a Time in Hollywood,2019,Comedia,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg","https://nosubmarinesdotcom.files.wordpress.com/2019/08/es-machista-once-upon-a-time-in-hollywood-tarantino.jpg","A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles."
Titanic,1997,Romance,"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg","https://img.cinemablend.com/filter:scale/quill/7/f/f/2/d/c/7ff2dca8b628deb838445a3dc2561d9889047620.jpg?mw=600","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Inception,2010,Acción,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i2.wp.com/cinefilosoficial.com/wp-content/uploads/2020/06/Inception-characters-film-crew.jpg?fit=1400%2C700&ssl=1","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
The Wolf of Wall Street,2013,Drama,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://d1nslcd7m2225b.cloudfront.net/Pictures/1024x536/7/4/9/1185749_The-Wolf-of-Wall-Street-3.jpg","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Great Gatsby,2013,Drama,"https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","http://i.imgur.com/5zMvOkH.jpg","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
Moneyball,2011,Drama,"https://m.media-amazon.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://m.media-amazon.com/images/M/MV5BODM1NDMxMTI3M15BMl5BanBnXkFtZTcwMDAzODY1Ng@@._V1_CR0,53,560,315_AL_UX477_CR0,0,477,268_AL_.jpg","Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
Baby Driver,2017,Acción,"https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.ytimg.com/vi/_XnNVXahJ2k/maxresdefault.jpg","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Cinderella,2015,Musical,"https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://images.squarespace-cdn.com/content/v1/59e512ddf43b55c29c71b996/1508700867495-QAZCIBY9QLX4RO39LABT/ke17ZwdGBToddI8pDm48kDsVye9PtWyCaNxc-alovawUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcmZWX4DIU9dO0LRl7DyGeByG7RXgf__MqvVk-NH5XiiklnbVHc-tx1lQVELtZ1_Ku/cinderella-1024x652.jpg","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
Deadpool 2,2018,Acción,"https://m.media-amazon.com/images/M/MV5BNjk1Njk3YjctMmMyYS00Y2I4LThhMzktN2U0MTMyZTFlYWQ5XkEyXkFqcGdeQXVyODM2ODEzMDA@._V1_UY268_CR43,0,182,268_AL_.jpg","https://i.blogs.es/743328/deadpool2/450_1000.jpg","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
